,name,phone,principal,grades,division
1498,Richlands Middle,276-963-5370,Mr. Glayde Brown,6-8,Tazewell County Public Schools
1499,Richmond Acceleration Program,804-780-6022, ,,Richmond Public Schools
1500,Richmond Alternative,804-780-4388,Dr. Howard Hopkins,6-11,Richmond Public Schools
1501,Richmond Career Education and Employment (Charter School),804-780-5037, ,9-12,Richmond Public Schools
1502,Richmond Community High,804-285-1015,Mr. James Austin Brown,9-12,Richmond Public Schools
1503,Richmond County Elementary,804-333-3510,Mr. Davis Roberts Jr.,KG-5,Richmond County Public Schools
1504,Richmond County Intermediate,804-333-3560,Mr. Anthony Booth,6-8,Richmond County Public Schools
1505,Richmond Technical Center,804-780-6237,Mrs. Nancy Maurice Holmes,,Richmond Public Schools
1506,"Richmond Technical Center (for New Kent Co use only)</strong>, ", ,,New Kent County Public Schools,
1507,Richneck Elementary,757-886-7772,Ms. Raquel Cox,PK-5,Newport News Public Schools
1508,Ridge Elementary,804-673-3745,Mrs. Katina W. Otey,PK-5,Henrico County Public Schools
1509,Rippon Middle,703-491-2171,Ms. Gail Stone,6-8,Prince William County Public Schools
1510,River Bend Elementary,540-298-5301,Ms. Sharon Martz,PK-5,Rockingham County Public Schools
1511,River Bend Middle,571-434-3220,Mr. Bennett P. Lacy,6-8,Loudoun County Public Schools
1512,River Oaks Elementary,703-441-0050,Aerica A. Williams,PK-5,Prince William County Public Schools
1513,Riverbend High,540-548-4051,Dr. Troy N. Wright,9-12,Spotsylvania County Public Schools
1514,Riverdale Elementary,757-562-3007,Miss Debra Hicks,PK-5,Southampton County Public Schools
1515,Riverheads Elementary,540-337-2535,Mrs. Marquerite R. McDonald,PK-5,Augusta County Public Schools
1516,Riverheads High,540-337-1921,Mr. Max W. Lowe,9-12,Augusta County Public Schools
1517,Riverlawn Elementary,540-643-0748,Mr. John Bowler,PK-5,Pulaski County Public Schools
1518,Rivers Edge Elementary,804-935-6760,Mrs. Johnna W. Riley,PK-5,Henrico County Public Schools
1519,Riverside Elementary,703-799-6000,Mrs. Lori Morton,PK-6,Fairfax County Public Schools
1520,Riverside Elementary,757-591-4740,Ms. Annette Walls,PK-5,Newport News Public Schools
1521,Riverview Elementary,540-582-7617,Dianne W. Holmes,PK-5,Spotsylvania County Public Schools
1522,Riverview Elementary/Middle,276-935-1613,Mrs. Debbie Lester,PK-8,Buchanan County Public Schools
1523,Roanoke Academy For Mathematics & Science Elementary,540-853-2751,Ms. Toni Belton,PK-5,Roanoke Public Schools
1524,Robert E. Aylor Middle,540-869-3736,Mr. David L. Rudy,6-8,Frederick County Public Schools
1525,Robert E. Lee Elementary,804-862-7007,Mrs. Barbara A. Patterson,KG-5,Petersburg Public Schools
1526,Robert E. Lee Elementary,540-582-5445,Daryl Lann,PK-5,Spotsylvania County Public Schools
1527,Robert E. Lee High,540-332-3926,Dr. Mark Rowicki,9-12,Staunton Public Schools
1528,Robert S. Payne Elementary,434-522-3762,Mr. John E. Blakely,PK-5,Lynchburg Public Schools
1529,Robinson Secondary,703-426-2100,Mr. Matthew W Eline,7-12,Fairfax County Public Schools
1530,Robious Elementary,804-378-2500,Stacey Austin,PK-5,Chesterfield County Public Schools
1531,Robious Middle,804-378-2510,Dr. Patrick Held,6-8,Chesterfield County Public Schools
1532,Rockbridge County High School,540-463-5555,Mr. Scott L. Jefferies,9-12,Rockbridge County Public Schools
1533,Rockfish River Elementary,434-361-1791,Ms. Kim M Candler,PK-5,Nelson County Public Schools
1534,Rockhill Elementary,540-658-6360,Ms. Patricia A. Johnston,PK-5,Stafford County Public Schools
1535,Rockledge Elementary,703-491-2108,Ms. Amy Schott,PK-5,Prince William County Public Schools
1536,Rocky Gap Elementary,276-928-1086,Mr. Gary O. Williams,KG-7,Bland County Public Schools
1537,Rocky Gap High,276-928-1100,Mrs. Deborah Hensley,8-12,Bland County Public Schools
1538,Rocky Mount Elementary,540-483-5040,Mr. S. Jerome Johnson,PK-5,Franklin County Public Schools
1539,Rocky Run E.C. Resource Ctr.,703-802-7788,Ms. Beth Sebastianelli,PK,Fairfax County Public Schools
1540,Rocky Run Elementary,540-286-1956,Mr. Nicholas R. Roman,PK-5,Stafford County Public Schools
1541,Rocky Run Middle,703-802-7700,Mr. Joseph Graczyk,7-8,Fairfax County Public Schools
1542,Rodney E. Thompson Middle,540-658-6420,Dr. Andrew T. Grider,6-8,Stafford County Public Schools
1543,Rolling Ridge Elementary,571-434-4540,Andrew Davis,PK-5,Loudoun County Public Schools
1544,Rolling Valley Elementary,703-923-2700,Ms. Maureen Boland,PK-6,Fairfax County Public Schools
1545,Ronald Wilson Reagan Middle,571-402-3500,Dr. L. Edward Stephenson,6-8,Prince William County Public Schools
1546,Rosa Lee Carter Elementary,703-957-4490,Michele Freeman,PK-5,Loudoun County Public Schools
1547,Rosa Parks Elementary,703-580-9665,Ms. Susan Danielson,PK-5,Prince William County Public Schools
1548,Rose Hill Elementary,703-313-4200,Ms. Elizabeth L. Obester,PK-6,Fairfax County Public Schools
1549,Rose Hill Elementary,276-445-4094, ,PK-4,Lee County Public Schools
1550,Rosemont Elementary,757-648-3600,Cari Hall,PK-5,Virginia Beach Public Schools
1551,Rosemont Forest Elementary,757-648-3640,Mr. Gregory Furlich,PK-5,Virginia Beach Public Schools
1552,Round Hill Elementary,540-751-2450,Mrs. Nancy E. McManus,PK-5,Loudoun County Public Schools
1553,Round Hill Elementary,540-853-2756,Mr. Corbett Hawks,PK-5,Roanoke Public Schools
1554,Ruby F. Carver Elementary,804-750-2640,Dr. Eric T. Armbruster,PK-5,Henrico County Public Schools
1555,Ruckersville Elementary,434-985-1472,Dr. Charles Heaton,KG-5,Greene County Public Schools
1556,Rural Point Elementary,804-723-3580,Ms. Nicolle Currie,PK-5,Hanover County Public Schools
1557,Rural Retreat Elementary,276-686-4125,Mrs. Mary U. Walters,PK-5,Wythe County Public Schools
1558,Rural Retreat High,276-686-4143,Mr. Micheal L. Neal,9-12,Wythe County Public Schools
1559,Rural Retreat Middle,276-686-5200,Ms. Shannon S. Phillips,6-8,Wythe County Public Schools
1560,Russell County Voc.,276-889-6550,Mrs. Brenda Campbell,,Russell County Public Schools
1561,Russell Prater Elementary,276-597-7552,Mrs. Melanie Hibbitts,PK-5,Buchanan County Public Schools
1562,Rustburg Elementary,434-332-5215,Mr. Lee Shearer,PK-5,Campbell County Public Schools
1563,Rustburg High,434-332-5171,Mr. Clay Stanley,9-12,Campbell County Public Schools
1564,Rustburg Middle,434-332-5141,Mrs. Kathy Bowles,6-8,Campbell County Public Schools
1565,Rye Cove High,276-940-2701,Mr. Reagan Mullins,8-12,Scott County Public Schools
1566,Rye Cove Intermediate,276-940-2322,Mr. Timothy Spicer,5-7,Scott County Public Schools
1567,S. Gordon Stewart Middle,540-245-5046,Dr. Brenda M Walton,6-8,Augusta County Public Schools
1568,S.P. Morton Elementary,757-562-5458,Mr. Debbie Harris Rollins,PK-5,Franklin Public Schools
1569,Salem Church Elementary,804-768-6215,Cathy Cameron,PK-5,Chesterfield County Public Schools
1570,Salem Church Middle,804-768-6225,Dr. Greg Ecroyd,6-8,Chesterfield County Public Schools
1571,Salem Elementary,540-786-8218,Mr. Harold E. Morton,PK-5,Spotsylvania County Public Schools
1572,Salem Elementary,757-648-3680,Mrs. Janet J. Zitt,PK-5,Virginia Beach Public Schools
1573,Salem High,540-387-2437,Mr. Scott Habeeb,9-12,Salem Public Schools
1574,Salem High,757-648-5650,Daniel F Keever,9-12,Virginia Beach Public Schools
1575,Salem Middle,757-648-5000,James Avila,6-8,Virginia Beach Public Schools
1576,Saltville Elementary,276-496-4751,Ms. Brenda M. Boone,PK-5,Smyth County Public Schools
1577,Samuel L. Gravely Jr. Elementary,571-248-4930,Angela Owens,PK-5,Prince William County Public Schools
1578,Samuel P. Langley Elementary,757-850-5105,Ms. Kathryn R. Hermann,KG-5,Hampton Public Schools
1579,Samuel W. Tucker Elementary,703-933-6300,C. Rene Paschal,KG-5,Alexandria Public Schools
1580,Sandburg Middle,703-799-6100,Mr. Terrence Yarborough,7-8,Fairfax County Public Schools
1581,Sanders Corner Elementary,571-252-2250,Michael Jacques,PK-5,Loudoun County Public Schools
1582,Sandlick Elementary,276-865-5361,Ms. Sherry Willis,PK-7,Dickenson County Public Schools
1583,Sandston Elementary,804-328-4055,Mrs. Mary E. Cox,PK-5,Henrico County Public Schools
1584,Sandusky Elementary,434-582-1111,Mr. Derrick E. Womack,PK-5,Lynchburg Public Schools
1585,Sandusky Middle,434-582-1120,Mrs. Maria T. Jaeger,6-8,Lynchburg Public Schools
1586,Sandy Hook Elementary,540-465-8281,Robin Shrum,PK-5,Shenandoah County Public Schools
1587,Sangster Elementary,703-644-8200,Mr. Christopher L. Summers,PK-6,Fairfax County Public Schools
1588,Sanville Elementary,276-629-5301,Dr. Sally T. Rodgers,PK-5,Henry County Public Schools
1589,Saratoga Elementary,703-440-2600,Ms. Patricia Conklin,PK-6,Fairfax County Public Schools
1590,Schoolfield Elementary,434-799-6455,Mrs. Darlene Logan,KG-5,Danville Public Schools
1591,Science And Technology Center,540-586-3933,Mrs. Barbara Rezzonico,,Bedford County Public Schools
1592,Scott County Career and Technical Center,276-386-6515,Ralph Quesinberry,,Scott County Public Schools
1593,Scott Memorial Middle,276-228-2851,Mr. Brad Haga,6-8,Wythe County Public Schools
1594,Scottsburg Elementary,434-454-6454,Mrs. Catherine T. Glass,KG-5,Halifax County Public Schools
1595,Scottsville Elementary,434-286-2441,Sharon Amato-Wilcox,PK-5,Albemarle County Public Schools
1596,Seaford Elementary,757-898-0352,Christina Head,KG-5,York County Public Schools
1597,Sealston Elementary,540-775-3400,Mrs. Elizabeth Yezierski,KG-6,King George County Public Schools
1598,Seatack Elementary,757-437-4867,Dr. Mary F. Daniels,PK-5,Virginia Beach Public Schools
1599,Secondary Head Start Centers,703-277-6722,Ms. Maura D. Burke,,Fairfax County Public Schools
1600,Sedgefield Elementary,757-591-4788,Mrs. Shannon M. Panko,PK-5,Newport News Public Schools
1601,Seldens Landing Elementary,571-252-2260,Tracy Stephens,PK-5,Loudoun County Public Schools
1602,Seneca Ridge Middle,571-434-4420,Mr. Mark McDermott,6-8,Loudoun County Public Schools
1603,Seven Pines Elementary,804-328-4065,Ms. Terri W. Mothershead,PK-5,Henrico County Public Schools
1604,Sewells Point Elementary,757-451-4160,Ms. Mary Wrushen,PK-5,Norfolk Public Schools
1605,Shady Grove Elementary,804-360-0825,Dr. Regina V. Schwab,PK-5,Henrico County Public Schools
1606,Sharon C. McAuliffe Elementary,703-680-7270,Cynthia Anne West,PK-5,Prince William County Public Schools
1607,Sharon Elementary,540-863-1712,Mr. Sherman Callahan,KG-5,Alleghany County Public Schools
1608,Shawsville Middle,540-268-2262,Mr. David Dickinson,6-8,Montgomery County Public Schools
1609,Sheffey Elementary,276-699-1771,Mr. Chad Newman,PK-5,Wythe County Public Schools
1610,Sheffield Elementary School,434-582-1115,Ms. Diane S. Swain,PK-5,Lynchburg Public Schools
1611,Shelburne Middle,540-332-3930,Mr. Robert Craft,6-8,Staunton Public Schools
1612,Shelton Park Elementary,757-460-7577,Mr. Geoffrey T Timlin,PK-5,Virginia Beach Public Schools
1613,Shenandoah Elementary,540-652-8621,Mrs. Denise Atkins,KG-5,Page County Public Schools
1614,Sherando High,540-869-0060,Mr. John H. Nelson,9-12,Frederick County Public Schools
1615,Sherman Elementary,703-506-7900,Ms. Kathleen Quigley,PK-6,Fairfax County Public Schools
1616,Sherwood Forest Elementary,757-852-4500,Ms. Cheryl Jordan,PK-5,Norfolk Public Schools
1617,Shirley C. Heim Middle,540-658-5910,Ms. Mary Grace McGraw,6-8,Stafford County Public Schools
1618,Shoemaker Elementary,276-386-7002,Ms. Renee Dishner,KG-6,Scott County Public Schools
1619,Short Pump Elementary,804-360-0812,Ms. Amy H. Hand,PK-5,Henrico County Public Schools
1620,Short Pump Middle,804-360-0800,Dr. Mark E. Chamberlain,6-8,Henrico County Public Schools
1621,Shrevewood Elementary,703-645-6600,Ms. Michelle I. Eugene,PK-6,Fairfax County Public Schools
1622,Signal Hill Elementary,703-530-7541,Cindy Wrenn,PK-5,Prince William County Public Schools
1623,Signal Knob Middle,540-465-3422,Mr. Chris R. Cook,6-8,Shenandoah County Public Schools
1624,Silverbrook Elementary,703-690-5100,Ms. Melaney Mackin,PK-6,Fairfax County Public Schools
1625,Simonsdale Elementary,757-465-2917,Mrs. Darlene F. Bright,KG-6,Portsmouth Public Schools
1626,Sinai Elementary,434-476-6193,Mr. Kevin M. Neal,KG-5,Halifax County Public Schools
1627,Skipwith Elementary,804-527-4650,Dr. Kaye M. Thomas,PK-5,Henrico County Public Schools
1628,Skyline High,540-631-0366,Mr. Andrew C. Keller,8-12,Warren County Public Schools
1629,Skyline Middle,540-434-6862,Mr. Joe Glick,5-8,Harrisonburg Public Schools
1630,Sleepy Hollow Elementary,703-237-7000,Ms. Lisa Barrow,PK-5,Fairfax County Public Schools
1631,Smart's Mill Middle,571-252-2030,Will Waldman,6-8,Loudoun County Public Schools
1632,Smith Station Elementary,540-786-5443,Christine Primo,PK-5,Spotsylvania County Public Schools
1633,Smithfield High,757-357-3108,Mrs. Joyce McDowell,9-12,Isle of Wight County Public Schools
1634,Smithfield Middle,757-365-4100,Mr. Jeffrey Mordica,7-8,Isle of Wight County Public Schools
1635,Smithland Elementary,540-434-6075,Mr. Gary L. Painter,KG-4,Harrisonburg Public Schools
1636,Smyth County Career & Technical Center,276-646-8117,Mrs. Songia Widener,,Smyth County Public Schools
1637,Snow Creek Elementary,540-483-5599,Mr. Kenneth Grindstaff,PK-5,Franklin County Public Schools
1638,Snowville Elementary,540-643-0766,Dr. Bridget Parsons,PK-5,Pulaski County Public Schools
1639,SOAR Academy,804-365-8060, ,,Hanover County Public Schools
1640,Sonnie Penn Elementary,703-590-0344,Ms. Linda Hange,PK-5,Prince William County Public Schools
1641,Sontag Elementary,540-483-5667,Mr. William D. Robey,PK-5,Franklin County Public Schools
1642,South Anna Elementary,804-883-6089,Mr. Michael Mudd,PK-5,Hanover County Public Schools
1643,South Boston Elementary,434-517-2620,Mrs. Susan A. Bagbey,KG-5,Halifax County Public Schools
1644,South Boston/Halifax Early Learning Center,434-572-4273,Mrs. Priscilla E. Price,PK,Halifax County Public Schools
1645,South County High,703-446-1600,Ms. Jane Lipp,9-12,Fairfax County Public Schools
1646,South County Middle,703-690-5500,Ms. Marsha Manning,7-8,Fairfax County Public Schools
1647,South Elementary,804-733-2755,Mrs. Robin Pruett,PK-5,Prince George County Public Schools
1648,South Hill Elementary,434-447-8134,Mrs. Joan Covington,PK-5,Mecklenburg County Public Schools
1649,South Lakes High,703-715-4500,Ms. Kimberly B Retzer,9-12,Fairfax County Public Schools
1650,South River Elementary,540-249-4001,Mr. Larry Shifflett,PK-5,Rockingham County Public Schools
1651,South Salem Elementary,540-387-2478,Mrs. Margaret E. Humphrey,KG-5,Salem Public Schools
1652,Southampton Elementary,804-320-2434,Mrs. Sheleta R. Crews,PK-5,Richmond Public Schools
1653,Southampton High,757-653-2751,Mrs. Allene Atkinson,9-12,Southampton County Public Schools
1654,Southampton Middle,757-653-9250,Miss Samantha Milteer,6-8,Southampton County Public Schools
1655,Southeastern Elementary,757-421-7676,Ms. Hope Terrell,PK-5,Chesapeake Public Schools
1656,Southside Elementary,434-836-0006,Ms. Regina E. Majied,PK-5,Pittsylvania County Public Schools
1657,Southside Elementary School,804-469-4480,Mrs. Lucy Michelle Jones,KG-5,Dinwiddie County Public Schools
1658,Southwestern Elementary,757-465-6310,Mrs. Sonya L. Beasley,PK-5,Chesapeake Public Schools
1659,Southwestern Elementary,757-934-6213,Christopher Phillips,PK-5,Suffolk Public Schools
1660,Sparrow Road Intermediate,757-578-7050,Ms. Sharon L. Popson,4-5,Chesapeake Public Schools
1661,Speedwell Elementary,276-621-4622,Alan Rouse,PK-5,Wythe County Public Schools
1662,Spiller Elementary,276-228-3561,Mrs. Kimberly S. Ingo,PK-5,Wythe County Public Schools
1663,Spotswood Elementary,540-434-3429,Ms. Ann D. Conners,KG-4,Harrisonburg Public Schools
1664,Spotswood Elementary,540-898-1514,Robin Monroe,PK-5,Spotsylvania County Public Schools
1665,Spotswood High,540-289-3100,Dr. Stephen R. Leaman,9-12,Rockingham County Public Schools
1666,Spotsylvania Career and Technical Center,540-898-2655,Mr. Gregory L. Browning,,Spotsylvania County Public Schools
1667,Spotsylvania High,540-582-3882,Russel R. Davis,9-12,Spotsylvania County Public Schools
1668,Spotsylvania Middle,540-582-6341,Michael Lane Byrd,6-8,Spotsylvania County Public Schools
1669,Spring Hill Elementary,703-506-3400,Mr. Roger Vanderhye,PK-6,Fairfax County Public Schools
1670,Spring Run Elementary,804-639-6352,Christopher Hart,PK-5,Chesterfield County Public Schools
1671,Springfield Elementary,540-743-3750,Mrs. Teresa B. Day,KG-5,Page County Public Schools
1672,Springfield Estates Elementary,703-921-2300,Ms. Mary Randolph,PK-6,Fairfax County Public Schools
1673,Springfield Park Elementary,804-527-4630,Ms. Tamara B. Jones,PK-5,Henrico County Public Schools
1674,Springville Elementary,276-322-5900,Mr. Rodney Gillespie,KG-5,Tazewell County Public Schools
1675,Springwoods Elementary,703-590-9874,Ms. Lyn Marsilio,PK-5,Prince William County Public Schools
1676,St. Charles Elementary,276-383-4531, ,PK-5,Lee County Public Schools
1677,St. Clare Walker Middle,804-758-2561,Mrs. Tracy Seitz,6-8,Middlesex County Public Schools
1678,St. Helena Elementary,757-494-3884,Ms. Vandelyn Hodges,PK-5,Norfolk Public Schools
1679,St. Paul Elementary,276-762-5941,Jody Evans,PK-8,Wise County Public Schools
1680,St. Paul School,276-755-3512,Mrs. Nancy F. Wilmoth,PK-7,Carroll County Public Schools
1681,Stafford Elementary,540-658-6340,Mrs. Mary P. Foreman,PK-5,Stafford County Public Schools
1682,Stafford Middle,540-658-6210,Mr. Mark J. Smith,6-8,Stafford County Public Schools
1683,Stafford Senior High,540-371-7200,Mr. Joseph R. Lewis,9-12,Stafford County Public Schools
1684,Stanley Elementary,540-778-2612,Mrs. Catherine Marston,KG-5,Page County Public Schools
1685,Stanleytown Elementary,276-629-5084,Mrs. Laryssa Hairston-Penn,PK-5,Henry County Public Schools
1686,Staunton City School PreSchool Programs,540-332-3934, ,PK,Staunton Public Schools
1687,Staunton River High,540-297-7151,Ms. Michelle L Morgan,9-12,Bedford County Public Schools
1688,Staunton River Middle,540-297-4152,Mrs. Karen Woodford,6-8,Bedford County Public Schools
1689,Stenwood Elementary,703-208-7600,Ms. Peggy Dammeyer,PK-6,Fairfax County Public Schools
1690,Sterling Elementary,571-434-4580,Jennifer Scott,PK-5,Loudoun County Public Schools
1691,Sterling Middle,571-434-4520,Nereida Gonzalez-Sals,6-8,Loudoun County Public Schools
1692,Steuart W. Weller Elementary,571-252-2360,Janet A. Platenberg,PK-5,Loudoun County Public Schools
1693,Stewartsville Elementary,540-890-2174,Mrs. Susan Mele,PK-5,Bedford County Public Schools
1694,Stone Bridge High,571-252-2200,Mr. James E. Person,9-12,Loudoun County Public Schools
1695,Stone Hill Middle,703-957-4420,Rodney Moore,6-8,Loudoun County Public Schools
1696,Stone Middle,703-631-5500,Ms. Amielia S. Mitchell,7-8,Fairfax County Public Schools
1697,Stone Robinson Elementary,434-296-3754,Dr. Nicholas J King,PK-5,Albemarle County Public Schools
1698,Stone Spring Elementary,540-574-1199,Mr. W. Lynn Sprouse,KG-4,Harrisonburg Public Schools
1699,Stonehouse Elementary,757-566-4300,Kimberly Pickles,KG-5,Williamsburg-James City County Public Schools
1700,Stonewall Elementary,540-662-2289,Mr. Darren Thomas,KG-5,Frederick County Public Schools
1701,Stonewall Jackson Elementary,276-821-5740,Dr. Linda Brittle,PK-5,Bristol Public Schools
1702,Stonewall Jackson High,703-365-2900,Mr. Richard Nichols,9-12,Prince William County Public Schools
1703,Stonewall Jackson High,540-477-2732,Mr. Michael J. Dorman,9-12,Shenandoah County Public Schools
1704,Stonewall Jackson Middle,804-723-2260,Ms. Nancy Disharoon,6-8,Hanover County Public Schools
1705,Stonewall Jackson Middle,540-853-6040,Mr. Bill Birdlebough,6-8,Roanoke Public Schools
1706,Stonewall Middle,703-361-3185,John G. Miller,6-8,Prince William County Public Schools
1707,Stony Mill Elementary,434-685-7545,Ms. Joyce A. Ferguson,PK-5,Pittsylvania County Public Schools
1708,Stony Point Elementary,434-973-6405,Ms. Carrie Neeley,PK-5,Albemarle County Public Schools
1709,Strasburg High,540-465-5195,Kenneth Knesh,9-12,Shenandoah County Public Schools
1710,Stratford Landing Elementary,703-619-3600,Dr. Maureen Marshall,PK-6,Fairfax County Public Schools
1711,Stratford Program,703-228-6440,Dr. Karen Gerry,,Arlington County Public Schools
1712,Strawbridge Elementary,757-427-5562,Ms. Kelly W. Coon,PK-5,Virginia Beach Public Schools
1713,Stuart Elementary,276-694-7139,Mrs. Tammy Waldron,PK-7,Patrick County Public Schools
1714,Stuart High,703-824-3900,Ms. Prosperanta Calhoun,9-12,Fairfax County Public Schools
1715,Stuart M. Beville Middle,703-878-2593,Timothy Keenan,6-8,Prince William County Public Schools
1716,Stuarts Draft Elementary,540-337-2951,Mr. Phil I. Coltrane,PK-5,Augusta County Public Schools
1717,Stuarts Draft High,540-946-7600,Mrs. Donna M. Abernathy,9-12,Augusta County Public Schools
1718,Stuarts Draft Middle,540-946-7611,Mr. Scott Musick,6-8,Augusta County Public Schools
1719,Suburban Park Elementary,757-531-3118,Mrs. Brenda Shepherd,PK-5,Norfolk Public Schools
1720,Sudley Elementary,703-361-3444,Pamela N. Moody,PK-5,Prince William County Public Schools
1721,Suella G. Ellis Elementary,703-365-0287,Ms. Norma Jewell Moore,PK-5,Prince William County Public Schools
1722,Sugar Grove Combined,276-783-2459,Ms. Jennifer Sayers,PK-8,Smyth County Public Schools
1723,Sugarland Elementary,571-434-4460,Gail Brady,PK-5,Loudoun County Public Schools
1724,Sully Elementary,571-434-4570,Colleen O'Neill,PK-5,Loudoun County Public Schools
1725,Sunnyside Elementary School,804-478-2313,Mrs. Wanda Snodgrass,KG-5,Dinwiddie County Public Schools
1726,Sunrise Valley Elementary,703-715-3800,Mr. Timothy A. Stanley,PK-6,Fairfax County Public Schools
1727,Surry County High,757-267-2211,Mrs. Rita P. Holmes,9-12,Surry County Public Schools
1728,Surry Elementary,757-267-2558,Ms. Geraldine V. Bailey,PK-4,Surry County Public Schools
1729,Sussex Central Elementary School,434-246-8960,Mrs. Diane N. Brown,KG-5,Sussex County Public Schools
1730,Sussex Central High,434-246-6051,Julius Hamlin,9-12,Sussex County Public Schools
1731,Sussex Central Middle School,434-246-2251,Morris Taylor,6-8,Sussex County Public Schools
1732,Sutherland Elementary School,804-732-4168,Mrs. Becky W. Baskerville,KG-5,Dinwiddie County Public Schools
1733,Swans Creek Elementary,703-445-0930,Mr. Barry Rosenberg,PK-5,Prince William County Public Schools
1734,Swansboro Elementary,804-780-5030,Mr. Herman Mizell,PK-5,Richmond Public Schools
1735,Swanson Middle,703-228-5500,Ms. Bridget Loft,6-8,Arlington County Public Schools
1736,Swift Creek Elementary,804-739-6305,Margaret Innes,PK-5,Chesterfield County Public Schools
1737,Swift Creek Middle,804-739-6315,Dr. James Calvin Frye,6-8,Chesterfield County Public Schools
1738,Swords Creek Elementary,276-991-0016,Mrs. Rebecca T. Dye,3-7,Russell County Public Schools
1739,Sycamore Park Elementary,540-825-8847,Mrs. Valeri L Meza,PK-5,Culpeper County Public Schools
1740,Sycolin Creek Elementary,571-252-2910,Derek Racino,PK-5,Loudoun County Public Schools
1741,Sydnor Jennings Elementary,434-349-1013,Mr. David D. Duffer,KG-5,Halifax County Public Schools
1742,T. Benton Gayle Middle,540-373-0383,Ms. Winona R. Lloyd,6-8,Stafford County Public Schools
1743,T. Clay Wood Elementary,703-594-3990,Andrew R. Buchheit,PK-5,Prince William County Public Schools
1744,T. Ryland Sanford Elementary,757-886-7778,Mr. Brian Lieberman,PK-5,Newport News Public Schools
1745,T.C. Miller Elementary for Innovation,434-522-3717,Mrs. Amy D. Huskin,KG-5,Lynchburg Public Schools
1746,T.C. Williams High,703-824-6800,Suzanne Maxey,9-12,Alexandria Public Schools
1747,Tabb Elementary,757-898-0372,Ms. Cheryl Parr,KG-5,York County Public Schools
1748,Tabb High,757-867-7400,Angela Seiders,9-12,York County Public Schools
1749,Tabb Middle,757-898-0320,Ms. Antonia Fox,6-8,York County Public Schools
1750,Tallwood Elementary,757-648-3840,Mr. David B. French,PK-5,Virginia Beach Public Schools
1751,Tallwood High,757-648-5700,Cheryl R. Woodhouse,9-12,Virginia Beach Public Schools
1752,Tangier Combined,757-891-2315,Dr. Nina Pruitt,KG-12,Accomack County Public Schools
1753,Tanners Creek Elementary,757-852-4555,Ms. Maritsa Alger,PK-5,Norfolk Public Schools
1754,Tappahannock Elementary,804-443-5301,Patrick DiSpirito,PK-4,Essex County Public Schools
1755,Tarrallton Elementary,757-531-1800,Ms. Diane Gibson,PK-5,Norfolk Public Schools
1756,Taylor Elementary,703-228-6275,Mr. Robert L. Hindman,PK-5,Arlington County Public Schools
1757,Tazewell County Career & Technical Center,276-988-2529,Dr. Chris Stacy,,Tazewell County Public Schools
1758,Tazewell Elementary,276-988-4441,Mrs. Suzanne Grindstaff,PK-5,Tazewell County Public Schools
1759,Tazewell High,276-988-6502,Rodney Reid,9-12,Tazewell County Public Schools
1760,Tazewell Middle,276-988-6513,Sarah Reid,6-8,Tazewell County Public Schools
1761,Technical & Career Ed. Ctr.,757-648-5850,Mr. David C. Swanger,,Virginia Beach Public Schools
1762,Technical Education & Career Center,703-228-5800,Ms. Nancy Opsut,,Arlington County Public Schools
1763,Temperance Elementary,434-946-2811,Michael O'Brien,PK-5,Amherst County Public Schools
1764,Terra Centre Elementary,703-249-1400,Mr. Gregory Brotemarkle,PK-6,Fairfax County Public Schools
1765,Terraset Elementary,703-390-5600,Ms. Lindsay Trout,PK-6,Fairfax County Public Schools
1766,Thalia Elementary,757-648-3880,Pamela Pastros,PK-5,Virginia Beach Public Schools
1767,Thaxton Elementary,540-586-3821,Mrs. Kim Halterman,PK-6,Bedford County Public Schools
1768,The Academy of International Studies at Rosemont,757-852-4610, ,,Norfolk Public Schools
1769,The Georgetown School,804-723-3460,Mr. Charles E. Stevens,,Hanover County Public Schools
1770,The Hanover Center For Trades And Technology,804-723-3440,Mr. Justin Roerink,,Hanover County Public Schools
1771,The Northside Preschool,434-773-8301,Mrs. Lou Ann Long,PK,Danville Public Schools
1772,The Renaissance Academy,757-263-1170,Ms. Kay Thomas,,Virginia Beach Public Schools
1773,The T.E.C.H. Center,757-678-5151, ,,Northampton County Public Schools
1774,Thelma Crenshaw Elementary,804-739-6250,Amy Williams,PK-5,Chesterfield County Public Schools
1775,Thirteen Acres Special Education Center,804-780-6072, ,,Richmond Public Schools
1776,Thomas C. Boushall Middle,804-780-5016,Mrs. Widad Abed,6-8,Richmond Public Schools
1777,Thomas C. McSwain Elementary,540-332-3936,Ms. Kimberly Crocker,KG-5,Staunton Public Schools
1778,Thomas Dale High,804-768-6245,Pam Lumsden,9-12,Chesterfield County Public Schools
1779,Thomas Eaton Middle,757-825-4540,Mr. Mark E. Hudson,6-8,Hampton Public Schools
1780,Thomas Harrison Middle,540-434-1949,Mr. Donald Vale,5-8,Harrisonburg Public Schools
1781,Thomas Hunter Middle,804-725-2434,Mrs. Laurel D. Byrd,5-8,Mathews County Public Schools
1782,Thomas Jefferson Elementary,434-534-6159,Mr. John A. Greenough Jr.,PK-5,Bedford County Public Schools
1783,Thomas Jefferson Elementary,703-248-5660,Mr. Bob Palermo,2-5,Falls Church Public Schools
